TX_ID,TX_TS,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_ID_1,TX_FRAUD
07512a17a94d7693de53b2c909128fe3d364d838,2022-02-14 08:15:46.000000 UTC,1728447908976239,00064542,77.63,07512a17a94d7693de53b2c909128fe3d364d838,0
2ab0a854ee6b390504710400f2434b388f9f296d,2022-02-14 01:18:41.000000 UTC,8123023336499901,00207589,38.5,2ab0a854ee6b390504710400f2434b388f9f296d,0
16172c07d11b96cb57d3f37d46fbdb6ae1931cd5,2022-02-14 06:05:43.000000 UTC,5771515533402423,00254446,33.14,16172c07d11b96cb57d3f37d46fbdb6ae1931cd5,0
c1922e779563637d68aee222084f13965ec8705b,2022-02-14 12:44:10.000000 UTC,6444414235473563,00507678,15.54,c1922e779563637d68aee222084f13965ec8705b,0
2be874b690ae2914e72df4905ae584cbb3ac02d9,2022-02-14 14:35:31.000000 UTC,0378700664557030,00665708,24.31,2be874b690ae2914e72df4905ae584cbb3ac02d9,0
57ea440cceb0af8b583351a0d9670a3aa1852888,2022-02-14 03:37:05.000000 UTC,7386060125264249,00898097,22.55,57ea440cceb0af8b583351a0d9670a3aa1852888,0
334537996ba1b12aa645ccfe038c253abd43b4a3,2022-02-14 02:26:41.000000 UTC,1012275178445945,00929290,90.18,334537996ba1b12aa645ccfe038c253abd43b4a3,0
c5185df7e6a9abcae1dc5e12e847b068862908f4,2022-02-14 20:18:52.000000 UTC,5861929827426611,01022321,63.94,c5185df7e6a9abcae1dc5e12e847b068862908f4,0
1ac971daa01f9fbf61dc734f9119bb3081ec1b54,2022-02-14 03:57:11.000000 UTC,1043958767803983,01094022,67.8,1ac971daa01f9fbf61dc734f9119bb3081ec1b54,0
e46538c94fc7dd7e9fe82046bdd1a53cb53affe3,2022-02-14 01:29:57.000000 UTC,8176004884656645,01094022,30.26,e46538c94fc7dd7e9fe82046bdd1a53cb53affe3,0
8b02708b332d9fb4d40885b3a043602bce003816,2022-02-14 04:47:57.000000 UTC,7510791551231848,01222793,34.38,8b02708b332d9fb4d40885b3a043602bce003816,0
8bf68fa8ec387bdf0682d97d2989a1cb8df0c82a,2022-02-14 05:59:18.000000 UTC,2727302720635998,01227135,69.67,8bf68fa8ec387bdf0682d97d2989a1cb8df0c82a,0
59500015630f5a2bc1f49ab803ebcff6f24260ca,2022-02-14 00:43:32.000000 UTC,6305891291128677,01242626,19.51,59500015630f5a2bc1f49ab803ebcff6f24260ca,0
81148351c22a52b2df4418feae02df701fa39f92,2022-02-14 09:18:12.000000 UTC,0271726594214041,01250742,10.4,81148351c22a52b2df4418feae02df701fa39f92,0
131f9f1ffd4ac7f3bd2a4c18224d7550c722e753,2022-02-14 22:03:32.000000 UTC,7158634040217757,01282321,56.18,131f9f1ffd4ac7f3bd2a4c18224d7550c722e753,0
4f57831dca3f51e8041683463f77aaf448438e47,2022-02-14 04:50:28.000000 UTC,9427270103369200,01282321,15.58,4f57831dca3f51e8041683463f77aaf448438e47,0
451dd04759253296194463fba7956af01cc274b5,2022-02-14 00:45:57.000000 UTC,3769084995882161,01373680,35.78,451dd04759253296194463fba7956af01cc274b5,0
47c7bb0c93bb6ac14220f2894dd1220b452de22d,2022-02-14 19:24:54.000000 UTC,3371916708325920,01596843,7.44,47c7bb0c93bb6ac14220f2894dd1220b452de22d,0
35e48ff00099092a32b93a8dbe02df325dd92932,2022-02-14 12:00:23.000000 UTC,5454652792497863,01610927,56.16,35e48ff00099092a32b93a8dbe02df325dd92932,0
6415954b2cf557e0283d5c4482c83f0e540075c6,2022-02-14 17:52:06.000000 UTC,8892296994002832,01680701,78.54,6415954b2cf557e0283d5c4482c83f0e540075c6,0
bbacad37fbb1c4a266efe2370f1078d9d86e03ee,2022-02-14 10:10:44.000000 UTC,0760338770731307,01708010,5,bbacad37fbb1c4a266efe2370f1078d9d86e03ee,0
0d792aacd4e3117fc75c8c193b83f2f051d05cfc,2022-02-14 02:43:18.000000 UTC,8883014980851632,01721344,60.92,0d792aacd4e3117fc75c8c193b83f2f051d05cfc,0
4c7ccb224766097e96368ef46e2867bd6df3556c,2022-02-14 22:54:48.000000 UTC,3904180879262815,01739360,6.16,4c7ccb224766097e96368ef46e2867bd6df3556c,0
f173398d44d8ee7ce20063e098e7c098bf408bb1,2022-02-14 13:55:25.000000 UTC,8102672952353144,01765860,86.69,f173398d44d8ee7ce20063e098e7c098bf408bb1,0
801862f916bdff20bd96c7cf1b232daf68764d53,2022-02-14 03:18:53.000000 UTC,4536198053252405,01765860,33.77,801862f916bdff20bd96c7cf1b232daf68764d53,0
9abba9ceec7943fcb7ebd0e4799a865039c860fa,2022-02-14 11:59:49.000000 UTC,1617889482880756,01884902,50.33,9abba9ceec7943fcb7ebd0e4799a865039c860fa,0
f9de663e316ea1ee5dee99dda0872b7da2119237,2022-02-14 13:17:10.000000 UTC,9731777540269310,02201307,5.78,f9de663e316ea1ee5dee99dda0872b7da2119237,0
6832b0444293ffd76d43aacc9862c0da45bd21d3,2022-02-14 09:42:41.000000 UTC,8898447445065676,02241628,73.24,6832b0444293ffd76d43aacc9862c0da45bd21d3,0
